vendedor,precio,habitaciones,metros,planta,garage,ascensor,ubicacion,numero_planta,valor_garage,precio_total
Particular,435400,4,146,sin ascensor,False,False,No especificado,,0,435400
Particular,2400000,4,236,No especificado,False,False,No especificado,,0,2400000
Particular,136000,4,102,sin ascensor,False,False,No especificado,,0,136000
Particular,298000,4,95,Planta 3ª sin ascensor,False,False,No especificado,3.0,0,298000
Particular,310000,4,91,Planta 1ª exterior con ascensor,True,True,Exterior,1.0,0,310000
Particular,1520000,4,192,Planta 5ª exterior con ascensor,False,True,Exterior,5.0,0,1520000
Agencia,970000,4,165,Planta 5ª exterior con ascensor,True,True,Exterior,5.0,0,970000
Particular,330000,4,91,No especificado,False,False,No especificado,,0,330000
Agencia,395000,4,151,Bajo exterior con ascensor,False,True,Exterior,0.0,0,395000
Particular,365000,4,96,Planta 2ª exterior sin ascensor,False,False,Exterior,2.0,0,365000
Agencia,2990000,4,285,Planta 6ª exterior con ascensor,True,True,Exterior,6.0,30000,3020000
Agencia,995000,4,126,Planta 6ª interior con ascensor,True,True,Interior,6.0,48000,1043000
Particular,900000,4,162,Planta 3ª exterior con ascensor,False,True,Exterior,3.0,0,900000
Agencia,1080000,4,155,Planta 9ª exterior con ascensor,True,True,Exterior,9.0,0,1080000
Particular,1390000,4,200,Planta 8ª exterior con ascensor,True,True,Exterior,8.0,0,1390000
Particular,260000,4,66,Entreplanta exterior con ascensor,False,True,Exterior,0.0,0,260000
Particular,757500,4,120,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,757500
Agencia,1045000,4,162,Planta 5ª exterior con ascensor,False,True,Exterior,5.0,0,1045000
Agencia,1485000,4,162,Planta 4ª exterior con ascensor,False,True,Exterior,4.0,0,1485000
Agencia,559900,4,123,Planta 3ª exterior sin ascensor,True,False,Exterior,3.0,0,559900
Particular,850000,4,153,Planta 3ª exterior con ascensor,False,True,Exterior,3.0,0,850000
Particular,3490000,4,265,Planta 3ª exterior con ascensor,False,True,Exterior,3.0,0,3490000
Agencia,1195000,4,155,Planta 5ª exterior con ascensor,True,True,Exterior,5.0,0,1195000
Particular,950000,4,150,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,950000
Agencia,4560000,4,302,Planta 3ª exterior con ascensor,True,True,Exterior,3.0,0,4560000
Agencia,260000,4,100,Planta 6ª exterior con ascensor,True,True,Exterior,6.0,0,260000
Agencia,820000,4,180,Planta 8ª exterior con ascensor,True,True,Exterior,8.0,0,820000
