vendedor,precio,habitaciones,metros,planta,garage,ascensor,ubicacion,numero_planta,valor_garage,precio_total
Particular,1250000,3,170,Planta 4ª exterior con ascensor,False,True,Exterior,4.0,0,1250000
Particular,449000,3,73,Planta 2ª sin ascensor,False,False,No especificado,2.0,0,449000
Particular,210000,3,85,sin ascensor,True,False,No especificado,,0,210000
Particular,1750000,3,150,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,1750000
Particular,1295000,3,113,Planta 6ª exterior con ascensor,False,True,Exterior,6.0,0,1295000
Particular,2000000,3,180,Planta 4ª exterior con ascensor,True,True,Exterior,4.0,0,2000000
Particular,1095000,3,142,Planta 4ª exterior con ascensor,False,True,Exterior,4.0,0,1095000
Particular,1190000,3,145,Planta 5ª exterior con ascensor,False,True,Exterior,5.0,0,1190000
Agencia,305000,3,118,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,305000
Particular,595000,3,62,Planta 6ª con ascensor,False,True,No especificado,6.0,0,595000
Particular,720000,3,88,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,720000
Agencia,279900,3,67,Bajo exterior sin ascensor,False,False,Exterior,0.0,0,279900
Particular,300000,3,72,Planta 1ª exterior sin ascensor,False,False,Exterior,1.0,0,300000
Particular,420000,3,115,Planta 2ª exterior con ascensor,True,True,Exterior,2.0,0,420000
Particular,780000,3,110,Planta 2ª exterior con ascensor,True,True,Exterior,2.0,0,780000
Agencia,230000,3,78,Planta 2ª exterior con ascensor,True,True,Exterior,2.0,0,230000
Agencia,230000,3,78,Planta 2ª exterior con ascensor,True,True,Exterior,2.0,0,230000
Particular,202300,3,72,Planta 3ª exterior sin ascensor,False,False,Exterior,3.0,0,202300
Agencia,330000,3,79,Planta 1ª exterior con ascensor,True,True,Exterior,1.0,0,330000
Agencia,1300000,3,130,Planta 1ª exterior sin ascensor,False,False,Exterior,1.0,0,1300000
Agencia,310000,3,65,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,310000
Particular,1200000,3,150,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,1200000
Agencia,410000,3,85,Planta 8ª exterior con ascensor,False,True,Exterior,8.0,0,410000
Particular,350000,3,65,Planta 2ª exterior sin ascensor,False,False,Exterior,2.0,0,350000
Particular,769000,3,90,Planta 6ª exterior con ascensor,False,True,Exterior,6.0,0,769000
Particular,248400,3,108,Planta 3ª exterior sin ascensor,False,False,Exterior,3.0,0,248400
Agencia,285000,3,79,Planta 3ª exterior sin ascensor,False,False,Exterior,3.0,0,285000
Agencia,550000,3,89,Planta 5ª exterior con ascensor,False,True,Exterior,5.0,0,550000
Particular,449000,3,107,Planta 3ª exterior con ascensor,False,True,Exterior,3.0,0,449000
Agencia,1290000,3,149,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,1290000
Agencia,2600000,3,246,Planta 2ª exterior con ascensor,True,True,Exterior,2.0,0,2600000
Agencia,675000,3,119,Planta 3ª exterior con ascensor,True,True,Exterior,3.0,0,675000
Agencia,379000,3,117,Planta 3ª exterior con ascensor,True,True,Exterior,3.0,0,379000
Agencia,249000,3,84,Planta 2ª exterior sin ascensor,True,False,Exterior,2.0,0,249000
Agencia,480000,3,75,Planta 4ª exterior con ascensor,False,True,Exterior,4.0,0,480000
Particular,285000,3,49,Planta 3ª exterior con ascensor,True,True,Exterior,3.0,0,285000
Agencia,1300000,3,123,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,1300000
Agencia,1910000,3,135,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,1910000
Agencia,990000,3,160,Planta 1ª exterior con ascensor,True,True,Exterior,1.0,0,990000
Particular,240000,3,65,Bajo exterior con ascensor,False,True,Exterior,0.0,0,240000
Agencia,2850000,3,275,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,2850000
Agencia,1100000,3,128,Planta 2ª exterior con ascensor,True,True,Exterior,2.0,0,1100000
Agencia,200000,3,56,Planta 4ª exterior sin ascensor,False,False,Exterior,4.0,0,200000
Agencia,790000,3,119,Planta 5ª exterior con ascensor,True,True,Exterior,5.0,0,790000
Agencia,285000,3,79,Planta 3ª exterior sin ascensor,False,False,Exterior,3.0,0,285000
Agencia,269000,3,78,Planta 1ª exterior sin ascensor,False,False,Exterior,1.0,0,269000
Particular,215000,3,49,Planta 3ª exterior sin ascensor,False,False,Exterior,3.0,0,215000
Agencia,750000,3,130,Planta 3ª exterior con ascensor,False,True,Exterior,3.0,0,750000
Agencia,765000,3,92,Planta 5ª interior con ascensor,False,True,Interior,5.0,0,765000
Agencia,1150000,3,126,Planta 2ª exterior con ascensor,True,True,Exterior,2.0,0,1150000
Agencia,680000,3,130,Planta 1ª exterior con ascensor,True,True,Exterior,1.0,0,680000
Particular,240000,3,69,Planta 4ª exterior con ascensor,False,True,Exterior,4.0,0,240000
Particular,1049000,3,156,Planta 1ª exterior con ascensor,True,True,Exterior,1.0,0,1049000
Particular,1408000,3,164,Planta 4ª exterior con ascensor,True,True,Exterior,4.0,0,1408000
Agencia,1195000,3,143,exterior con ascensor,False,True,Exterior,,0,1195000
Agencia,1790000,3,150,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,1790000
Particular,620000,3,112,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,620000
Particular,680000,3,103,Planta 5ª exterior con ascensor,False,True,Exterior,5.0,0,680000
Particular,670000,3,115,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,670000
Particular,1950000,3,160,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,1950000
Particular,320000,3,90,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,320000
Agencia,1745000,3,170,Planta 6ª exterior con ascensor,False,True,Exterior,6.0,0,1745000
Particular,240000,3,100,Planta 9ª exterior con ascensor,False,True,Exterior,9.0,0,240000
Particular,440000,3,80,Planta 7ª exterior con ascensor,False,True,Exterior,7.0,0,440000
Particular,1170000,3,110,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,1170000
Particular,990000,3,104,Planta 3ª exterior con ascensor,False,True,Exterior,3.0,0,990000
Particular,1140000,3,145,Planta 5ª exterior con ascensor,True,True,Exterior,5.0,0,1140000
Agencia,1650000,3,135,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,1650000
Agencia,1395000,3,200,Planta 6ª exterior con ascensor,True,True,Exterior,6.0,0,1395000
Agencia,300000,3,76,Planta 1ª exterior sin ascensor,False,False,Exterior,1.0,0,300000
Agencia,312000,3,132,Bajo interior con ascensor,True,True,Interior,0.0,0,312000
Agencia,285000,3,79,Planta 3ª exterior sin ascensor,False,False,Exterior,3.0,0,285000
Particular,178000,3,64,Bajo exterior sin ascensor,False,False,Exterior,0.0,0,178000
Agencia,800000,3,86,exterior con ascensor,False,True,Exterior,,0,800000
Agencia,570000,3,107,Planta 4ª exterior con ascensor,True,True,Exterior,4.0,0,570000
Particular,195000,3,76,Planta 5ª exterior sin ascensor,False,False,Exterior,5.0,0,195000
Particular,280000,3,61,Planta 3ª exterior con ascensor,True,True,Exterior,3.0,0,280000
Particular,279000,3,102,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,279000
Agencia,425000,3,70,Planta 4ª exterior con ascensor,False,True,Exterior,4.0,0,425000
Particular,1185000,3,102,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,1185000
Agencia,179000,3,58,Planta 2ª exterior sin ascensor,False,False,Exterior,2.0,0,179000
Agencia,1210000,3,213,exterior con ascensor,True,True,Exterior,,0,1210000
Agencia,275000,3,65,Bajo exterior sin ascensor,False,False,Exterior,0.0,0,275000
Agencia,2200000,3,105,Planta 6ª exterior con ascensor,False,True,Exterior,6.0,0,2200000
Agencia,224999,3,61,Planta 2ª exterior sin ascensor,False,False,Exterior,2.0,0,224999
Agencia,498500,3,95,Planta 8ª exterior con ascensor,True,True,Exterior,8.0,0,498500
Particular,216000,3,72,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,216000
Particular,420000,3,82,Planta 6ª exterior con ascensor,False,True,Exterior,6.0,0,420000
Particular,340000,3,104,Planta 5ª exterior con ascensor,True,True,Exterior,5.0,0,340000
Agencia,490000,3,80,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,490000
Particular,244990,3,72,Bajo exterior sin ascensor,False,False,Exterior,0.0,0,244990
Particular,1690000,3,193,Planta 5ª exterior con ascensor,False,True,Exterior,5.0,0,1690000
Particular,505000,3,90,Planta 7ª exterior con ascensor,False,True,Exterior,7.0,0,505000
Agencia,455000,3,88,Planta 8ª exterior con ascensor,False,True,Exterior,8.0,0,455000
Agencia,790000,3,110,Planta 3ª exterior con ascensor,False,True,Exterior,3.0,0,790000
Agencia,250000,3,59,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,250000
Particular,358100,3,118,Planta 7ª exterior con ascensor,True,True,Exterior,7.0,0,358100
Agencia,1530000,3,153,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,1530000
Particular,455000,3,75,Planta 1ª interior con ascensor,False,True,Interior,1.0,0,455000
Agencia,280000,3,67,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,280000
Particular,670000,3,99,Planta 5ª interior con ascensor,True,True,Interior,5.0,0,670000
Agencia,1150000,3,115,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,1150000
Agencia,285000,3,79,Planta 3ª exterior sin ascensor,False,False,Exterior,3.0,0,285000
Agencia,750000,3,90,Planta 5ª exterior con ascensor,False,True,Exterior,5.0,0,750000
Particular,461600,3,113,Planta 3ª exterior con ascensor,True,True,Exterior,3.0,0,461600
Particular,420000,3,82,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,420000
Particular,318300,3,115,Planta 3ª exterior con ascensor,True,True,Exterior,3.0,0,318300
Particular,302500,3,108,Planta 2ª exterior con ascensor,True,True,Exterior,2.0,0,302500
Particular,296400,3,106,Planta 1ª exterior con ascensor,True,True,Exterior,1.0,0,296400
Particular,303900,3,112,Planta 1ª exterior con ascensor,True,True,Exterior,1.0,0,303900
Agencia,310000,3,77,Planta 2ª interior con ascensor,False,True,Interior,2.0,0,310000
Agencia,1325000,3,218,Planta 3ª exterior con ascensor,True,True,Exterior,3.0,0,1325000
Particular,2350000,3,193,Entreplanta interior con ascensor,True,True,Interior,0.0,0,2350000
Agencia,1200000,3,145,Planta 5ª exterior con ascensor,False,True,Exterior,5.0,0,1200000
Particular,389200,3,88,Planta 1ª exterior con ascensor,True,True,Exterior,1.0,0,389200
Particular,2670000,3,195,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,2670000
Agencia,264000,3,80,Planta 3ª exterior con ascensor,False,True,Exterior,3.0,0,264000
Agencia,280000,3,71,Planta 2ª exterior sin ascensor,False,False,Exterior,2.0,0,280000
Particular,985000,3,128,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,985000
Particular,1350000,3,137,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,1350000
Agencia,1100000,3,158,Planta 6ª exterior con ascensor,True,True,Exterior,6.0,0,1100000
Agencia,300000,3,59,Bajo exterior sin ascensor,False,False,Exterior,0.0,0,300000
Agencia,565000,3,130,Planta 2ª exterior con ascensor,True,True,Exterior,2.0,0,565000
Agencia,1968000,3,157,Planta 5ª exterior con ascensor,False,True,Exterior,5.0,0,1968000
Particular,1200000,3,145,Planta 5ª exterior con ascensor,True,True,Exterior,5.0,50000,1250000
Agencia,215000,3,88,Planta 4ª exterior con ascensor,False,True,Exterior,4.0,0,215000
Particular,310000,3,109,Planta 6ª exterior con ascensor,True,True,Exterior,6.0,0,310000
Agencia,750000,3,113,Planta 1ª exterior con ascensor,True,True,Exterior,1.0,0,750000
Particular,255000,3,53,Planta 2ª exterior sin ascensor,False,False,Exterior,2.0,0,255000
Agencia,790000,3,130,exterior con ascensor,True,True,Exterior,,0,790000
Particular,470000,3,100,Planta 5ª exterior con ascensor,False,True,Exterior,5.0,0,470000
Agencia,379000,3,78,Planta 5ª exterior con ascensor,False,True,Exterior,5.0,0,379000
Particular,240000,3,68,Planta 4ª exterior sin ascensor,False,False,Exterior,4.0,0,240000
Particular,525000,3,93,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,525000
Particular,232500,3,82,Planta 1ª interior sin ascensor,False,False,Interior,1.0,0,232500
Particular,199000,3,85,No especificado,True,False,No especificado,,0,199000
Particular,555000,3,88,Bajo interior con ascensor,False,True,Interior,0.0,0,555000
Particular,1800000,3,190,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,1800000
Agencia,259000,3,95,Planta 3ª exterior con ascensor,False,True,Exterior,3.0,0,259000
Particular,1450000,3,135,Planta 3ª exterior con ascensor,False,True,Exterior,3.0,0,1450000
Particular,1300000,3,124,Bajo exterior con ascensor,True,True,Exterior,0.0,0,1300000
Particular,480000,3,73,Planta 3ª exterior con ascensor,False,True,Exterior,3.0,0,480000
Agencia,1554000,3,127,Planta 3ª exterior con ascensor,False,True,Exterior,3.0,0,1554000
Particular,345000,3,84,Bajo exterior con ascensor,False,True,Exterior,0.0,0,345000
Particular,240000,3,67,Planta 3ª exterior sin ascensor,False,False,Exterior,3.0,0,240000
Particular,395000,3,78,Planta 3ª interior sin ascensor,False,False,Interior,3.0,0,395000
Particular,1469000,3,115,Planta 7ª exterior con ascensor,True,True,Exterior,7.0,0,1469000
Particular,995000,3,112,Planta 4ª exterior con ascensor,False,True,Exterior,4.0,0,995000
Particular,370000,3,119,Planta 2ª exterior con ascensor,True,True,Exterior,2.0,0,370000
Particular,1779000,3,151,Planta 3ª interior con ascensor,True,True,Interior,3.0,0,1779000
Particular,335000,3,91,No especificado,True,False,No especificado,,0,335000
Agencia,2300000,3,137,Planta 3ª exterior con ascensor,True,True,Exterior,3.0,50000,2350000
Particular,650000,3,79,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,650000
Particular,350000,3,116,Planta 4ª exterior con ascensor,True,True,Exterior,4.0,0,350000
Particular,1195000,3,189,Planta 6ª exterior con ascensor,True,True,Exterior,6.0,0,1195000
Agencia,461600,3,122,Planta 3ª exterior con ascensor,False,True,Exterior,3.0,0,461600
Particular,1200000,3,106,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,1200000
Agencia,650000,3,85,Planta 10ª exterior con ascensor,False,True,Exterior,10.0,0,650000
Particular,254100,3,97,Planta 3ª exterior sin ascensor,False,False,Exterior,3.0,0,254100
Particular,260000,3,89,Planta 5ª exterior con ascensor,False,True,Exterior,5.0,0,260000
Agencia,350000,3,100,No especificado,False,False,No especificado,,0,350000
Particular,280000,3,63,Planta 4ª exterior sin ascensor,False,False,Exterior,4.0,0,280000
Particular,105000,3,63,Bajo exterior sin ascensor,True,False,Exterior,0.0,0,105000
Particular,185000,3,73,Planta 1ª exterior sin ascensor,False,False,Exterior,1.0,0,185000
Particular,450000,3,93,Planta 3ª exterior sin ascensor,False,False,Exterior,3.0,0,450000
Particular,205000,3,81,Bajo exterior sin ascensor,False,False,Exterior,0.0,0,205000
Particular,214900,3,70,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,214900
Particular,235000,3,71,Planta 5ª exterior sin ascensor,False,False,Exterior,5.0,0,235000
Agencia,304500,3,101,Bajo exterior sin ascensor,False,False,Exterior,0.0,0,304500
Agencia,199999,3,53,Planta 6ª exterior con ascensor,False,True,Exterior,6.0,0,199999
Particular,965000,3,119,Planta 4ª exterior con ascensor,False,True,Exterior,4.0,0,965000
Particular,540000,3,109,Planta 3ª exterior con ascensor,True,True,Exterior,3.0,0,540000
Agencia,325000,3,108,Planta 7ª exterior con ascensor,True,True,Exterior,7.0,0,325000
Agencia,575000,3,148,Planta 4ª exterior con ascensor,True,True,Exterior,4.0,0,575000
Agencia,750000,3,101,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,750000
Agencia,3500000,3,150,Planta 3ª exterior con ascensor,False,True,Exterior,3.0,0,3500000
Agencia,750000,3,159,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,750000
Agencia,255000,3,65,Planta 2ª exterior sin ascensor,False,False,Exterior,2.0,0,255000
Agencia,330000,3,60,Bajo exterior con ascensor,False,True,Exterior,0.0,0,330000
Particular,599000,3,115,Planta 1ª exterior sin ascensor,False,False,Exterior,1.0,0,599000
Agencia,425000,3,72,Planta 4ª exterior con ascensor,False,True,Exterior,4.0,0,425000
Particular,2800000,3,188,Planta 4ª exterior con ascensor,False,True,Exterior,4.0,0,2800000
Agencia,222000,3,69,Planta 3ª exterior con ascensor,False,True,Exterior,3.0,0,222000
Agencia,2900000,3,214,Planta 3ª exterior con ascensor,True,True,Exterior,3.0,130,2900130
Particular,275000,3,90,Planta 5ª interior con ascensor,False,True,Interior,5.0,0,275000
Particular,295000,3,65,Planta 1ª interior con ascensor,False,True,Interior,1.0,0,295000
Particular,249000,3,103,Planta 1ª exterior sin ascensor,False,False,Exterior,1.0,0,249000
Particular,459000,3,110,Planta 2ª exterior con ascensor,True,True,Exterior,2.0,0,459000
Agencia,270000,3,95,Planta 5ª exterior con ascensor,False,True,Exterior,5.0,0,270000
Agencia,495000,3,120,Planta 1ª exterior sin ascensor,False,False,Exterior,1.0,0,495000
Particular,216000,3,72,sin ascensor,False,False,No especificado,,0,216000
Particular,669000,3,70,Planta 2ª exterior sin ascensor,False,False,Exterior,2.0,0,669000
Agencia,445000,3,85,Planta 2ª exterior sin ascensor,False,False,Exterior,2.0,0,445000
Particular,149000,3,35,Planta 1ª interior sin ascensor,False,False,Interior,1.0,0,149000
Particular,865000,3,130,Planta 1ª interior con ascensor,True,True,Interior,1.0,35000,900000
Agencia,300000,3,72,Bajo exterior sin ascensor,False,False,Exterior,0.0,0,300000
Agencia,399000,3,75,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,399000
Agencia,265000,3,63,Planta 2ª exterior sin ascensor,False,False,Exterior,2.0,0,265000
Particular,850000,3,173,Bajo exterior con ascensor,True,True,Exterior,0.0,0,850000
Agencia,269000,3,68,Planta 4ª exterior con ascensor,False,True,Exterior,4.0,0,269000
Agencia,335000,3,90,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,335000
Agencia,250000,3,80,Planta 1ª exterior sin ascensor,True,False,Exterior,1.0,0,250000
Agencia,339000,3,95,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,339000
Agencia,210000,3,65,Planta 2ª exterior sin ascensor,False,False,Exterior,2.0,0,210000
Particular,276000,3,102,Planta 6ª exterior con ascensor,False,True,Exterior,6.0,0,276000
Agencia,2300000,3,162,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,2300000
Agencia,1495000,3,116,Planta 4ª exterior con ascensor,False,True,Exterior,4.0,0,1495000
Particular,230000,3,66,Planta 2ª exterior sin ascensor,False,False,Exterior,2.0,0,230000
Particular,230000,3,78,Planta 2ª exterior sin ascensor,False,False,Exterior,2.0,0,230000
Particular,599000,3,98,Planta 3ª exterior con ascensor,False,True,Exterior,3.0,0,599000
Particular,419000,3,65,Planta 3ª exterior con ascensor,False,True,Exterior,3.0,0,419000
Agencia,1140000,3,146,Planta 5ª exterior con ascensor,False,True,Exterior,5.0,0,1140000
Agencia,475000,3,78,Planta 6ª interior con ascensor,False,True,Interior,6.0,0,475000
Agencia,1200000,3,136,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,1200000
Agencia,590000,3,103,Planta 9ª exterior con ascensor,False,True,Exterior,9.0,0,590000
Agencia,228000,3,67,Bajo exterior sin ascensor,False,False,Exterior,0.0,0,228000
Agencia,2650000,3,208,Planta 5ª exterior con ascensor,False,True,Exterior,5.0,0,2650000
Particular,590000,3,72,Planta 3ª interior sin ascensor,False,False,Interior,3.0,0,590000
Agencia,1800000,3,186,Planta 7ª exterior con ascensor,True,True,Exterior,7.0,0,1800000
Agencia,1100000,3,107,Planta 1ª interior con ascensor,False,True,Interior,1.0,0,1100000
Agencia,315000,3,106,Planta 1ª exterior sin ascensor,True,False,Exterior,1.0,0,315000
Agencia,339000,3,89,Planta 3ª exterior con ascensor,False,True,Exterior,3.0,0,339000
Agencia,1395000,3,157,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,1395000
Particular,135000,3,96,Bajo exterior sin ascensor,False,False,Exterior,0.0,0,135000
Particular,150000,3,57,Bajo exterior sin ascensor,False,False,Exterior,0.0,0,150000
Particular,184000,3,68,Bajo exterior sin ascensor,False,False,Exterior,0.0,0,184000
Particular,212000,3,69,Bajo exterior sin ascensor,False,False,Exterior,0.0,0,212000
Particular,312000,3,76,Bajo exterior sin ascensor,False,False,Exterior,0.0,0,312000
Particular,223979,3,56,Bajo exterior sin ascensor,False,False,Exterior,0.0,0,223979
Particular,367642,3,63,Planta 1ª exterior sin ascensor,False,False,Exterior,1.0,0,367642
Particular,693000,3,78,Planta 4ª exterior con ascensor,False,True,Exterior,4.0,0,693000
Particular,165000,3,83,Planta 5ª exterior sin ascensor,False,False,Exterior,5.0,0,165000
Particular,165000,3,60,Bajo exterior sin ascensor,False,False,Exterior,0.0,0,165000
Particular,296000,3,34,Bajo exterior sin ascensor,False,False,Exterior,0.0,0,296000
Agencia,1360000,3,100,Planta 5ª exterior con ascensor,False,True,Exterior,5.0,0,1360000
Agencia,1269000,3,146,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,1269000
Agencia,257000,3,68,Planta 3ª exterior sin ascensor,False,False,Exterior,3.0,0,257000
Particular,275000,3,85,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,275000
Particular,285000,3,106,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,285000
Particular,315000,3,105,Planta 1ª exterior sin ascensor,True,False,Exterior,1.0,0,315000
Particular,869000,3,146,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,869000
Particular,1045000,3,150,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,1045000
Agencia,2450000,3,212,Planta 6ª exterior con ascensor,True,True,Exterior,6.0,0,2450000
Particular,306000,3,71,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,306000
Agencia,535000,3,80,Planta 4ª exterior con ascensor,False,True,Exterior,4.0,0,535000
Agencia,220000,3,60,Planta 1ª exterior sin ascensor,False,False,Exterior,1.0,0,220000
Particular,1495000,3,164,Planta 3ª exterior con ascensor,False,True,Exterior,3.0,0,1495000
Agencia,829000,3,183,No especificado,True,False,No especificado,,0,829000
Particular,3900000,3,260,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,3900000
Agencia,1195000,3,143,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,1195000
Particular,529000,3,80,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,529000
Agencia,370000,3,93,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,370000
Agencia,539000,3,86,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,539000
Agencia,280000,3,65,Planta 3ª exterior sin ascensor,False,False,Exterior,3.0,0,280000
Agencia,249000,3,74,Entreplanta exterior con ascensor,False,True,Exterior,0.0,0,249000
Agencia,1119000,3,139,Bajo exterior sin ascensor,False,False,Exterior,0.0,0,1119000
Particular,1990000,3,179,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,1990000
Agencia,490000,3,93,Planta 4ª exterior con ascensor,False,True,Exterior,4.0,0,490000
Agencia,628000,3,83,Planta 3ª exterior con ascensor,False,True,Exterior,3.0,0,628000
Particular,450000,3,182,Planta 2ª exterior con ascensor,True,True,Exterior,2.0,0,450000
Particular,700000,3,106,Planta 3ª exterior sin ascensor,False,False,Exterior,3.0,0,700000
Agencia,1340000,3,112,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,1340000
Particular,355000,3,112,Bajo exterior con ascensor,False,True,Exterior,0.0,0,355000
Particular,459000,3,126,Planta 4ª exterior con ascensor,False,True,Exterior,4.0,0,459000
Particular,1190000,3,136,Planta 5ª exterior con ascensor,True,True,Exterior,5.0,0,1190000
Particular,1850000,3,155,Planta 1ª exterior con ascensor,True,True,Exterior,1.0,0,1850000
Particular,139000,3,61,Bajo exterior sin ascensor,False,False,Exterior,0.0,0,139000
Particular,790000,3,85,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,790000
Particular,1379000,3,130,Bajo exterior con ascensor,False,True,Exterior,0.0,0,1379000
Particular,630000,3,78,Planta 3ª exterior con ascensor,False,True,Exterior,3.0,0,630000
Agencia,1800000,3,135,Planta 1ª exterior sin ascensor,False,False,Exterior,1.0,0,1800000
Particular,1640000,3,167,Planta 3ª exterior con ascensor,True,True,Exterior,3.0,0,1640000
Agencia,2290000,3,190,Planta 2ª exterior con ascensor,True,True,Exterior,2.0,0,2290000
Particular,500000,3,73,Planta 6ª exterior con ascensor,False,True,Exterior,6.0,0,500000
Particular,279900,3,84,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,279900
Particular,1649000,3,122,Planta 6ª exterior con ascensor,True,True,Exterior,6.0,0,1649000
Agencia,1250000,3,164,Planta 1ª exterior con ascensor,True,True,Exterior,1.0,0,1250000
Particular,780000,3,109,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,780000
Particular,180000,3,73,exterior sin ascensor,False,False,Exterior,,0,180000
Agencia,162400,3,56,Planta 1ª interior sin ascensor,False,False,Interior,1.0,0,162400
Agencia,1750000,3,200,Planta 8ª exterior con ascensor,True,True,Exterior,8.0,0,1750000
Particular,1709000,3,164,Planta 5ª exterior con ascensor,True,True,Exterior,5.0,0,1709000
Agencia,295000,3,63,Planta 3ª exterior sin ascensor,False,False,Exterior,3.0,0,295000
Agencia,2300000,3,165,Planta 4ª exterior con ascensor,True,True,Exterior,4.0,0,2300000
Agencia,207000,3,63,Planta 3ª exterior sin ascensor,False,False,Exterior,3.0,0,207000
Particular,410000,3,83,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,410000
Agencia,220000,3,75,Bajo exterior con ascensor,False,True,Exterior,0.0,0,220000
Particular,1179000,3,115,Planta 5ª exterior con ascensor,False,True,Exterior,5.0,0,1179000
Agencia,550000,3,179,Planta 4ª exterior con ascensor,True,True,Exterior,4.0,0,550000
Particular,435000,3,86,Planta 3ª exterior con ascensor,False,True,Exterior,3.0,0,435000
Agencia,755000,3,96,Planta 1ª exterior con ascensor,False,True,Exterior,1.0,0,755000
Agencia,799000,3,111,Planta 8ª exterior con ascensor,False,True,Exterior,8.0,0,799000
Particular,815000,3,106,Planta 2ª exterior con ascensor,True,True,Exterior,2.0,0,815000
Agencia,450000,3,78,Planta 6ª exterior con ascensor,False,True,Exterior,6.0,0,450000
Agencia,950000,3,146,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,950000
Agencia,205000,3,74,Planta 2ª exterior sin ascensor,False,False,Exterior,2.0,0,205000
Particular,648000,3,144,Planta 1ª interior con ascensor,False,True,Interior,1.0,0,648000
Agencia,849000,3,96,Planta 1ª exterior sin ascensor,True,False,Exterior,1.0,21000,870000
Particular,460000,3,73,Planta 9ª exterior con ascensor,False,True,Exterior,9.0,0,460000
Particular,528000,3,73,Planta 2ª exterior con ascensor,False,True,Exterior,2.0,0,528000
Particular,425000,3,98,Planta 7ª exterior con ascensor,False,True,Exterior,7.0,0,425000
Particular,895000,3,115,Planta 4ª interior con ascensor,False,True,Interior,4.0,0,895000
Particular,1125000,3,93,Planta 6ª exterior con ascensor,True,True,Exterior,6.0,0,1125000
Particular,238470,3,70,Planta 1ª exterior sin ascensor,False,False,Exterior,1.0,0,238470
Particular,265234,3,103,Planta 1ª exterior con ascensor,True,True,Exterior,1.0,0,265234
Particular,274678,3,107,Planta 1ª exterior con ascensor,True,True,Exterior,1.0,0,274678
Particular,271404,3,107,Planta 1ª exterior con ascensor,True,True,Exterior,1.0,0,271404
